Gas,"NFR/CRT Group",Source,Activity,Units,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Carbon Dioxide as Carbon",1A1ciii,"Collieries - combustion","Natural gas",kilotonne,16.71574968152,31.2168838842758,51.7314841602433,20.6429576353683,13.2568535276722,18.3818597724423,17.2218841069389,9.68691216817003,3.3713658194942,0.707625998813501,0.302090086739563,0.20160939421185,-,-,-,-,-,-,4.27685235034121,3.92080261309479,3.71702272265176,3.06757215222444,4.82710868733339,3.016047743834,5.01713201548941,3.9652485966214,3.85543360962551,3.81647102944229,3.95044908595821,4.00715801902499,3.3720860673144,2.9887095817152,2.58436723274734,2.38494416300587
"Carbon Dioxide as Carbon",1A1ciii,"Gas production","Colliery methane",kilotonne,5.16920681761334,3.46571820726349,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Carbon Dioxide as Carbon",1A1ciii,"Gas production",LPG,kilotonne,29.4414799639172,33.4721589513032,32.1870149776056,33.3553276809671,37.7949159537402,34.2899778436562,38.2762741229843,35.9268016083403,36.7803223186417,36.774128106815,31.4675315745719,-,-,0.0160193741512058,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Carbon Dioxide as Carbon",1A1ciii,"Gas production","Natural gas",kilotonne,140.722284355599,176.53859350861,166.24459164826,168.473470039302,172.246742147992,193.92519367619,264.513410153078,245.038271802958,317.764503991092,400.883408914088,433.482361030128,455.802505999043,454.890295697337,484.473718570698,383.394078580863,429.074061453068,387.811942896913,330.342423548557,357.629158085609,349.575631891031,499.899498203485,440.243638057826,319.503437397994,306.44331337766,298.85408905534,342.136099670742,343.427923401095,344.453789573674,287.721097879161,330.874767568716,323.998862507751,303.531056636025,375.297684029094,295.080017642179
"Carbon Dioxide as Carbon",1A1ciii,"Nuclear fuel production","Natural gas",kilotonne,20.8699596615427,24.5771022326997,25.2203396865677,28.1042676240556,27.4107873692471,23.3269796568765,43.7556008996065,46.3265281410411,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Carbon Dioxide as Carbon",1A2a,"Iron and steel - combustion plant",Coal,kilotonne,8.46249987,6.336489107205,4.22432607147,9.2318821498475,10.02729302778,6.1391589966,2.287567578495,0.572497975075168,3.32284257931044,5.49828771497742,2.09569564348978,0.74428736501596,-,-,-,-,0.74059695832,55.544771874,51.1308140024128,44.3765697425344,47.6129784503928,38.9702119467984,37.4816120605752,39.3849462434576,40.1699790192768,32.8899109189912,25.661684605788,24.4545115637264,24.698908559972,17.21887928094,22.40305798918,15.2044555543096,19.3443925513184,24.43969962456
"Carbon Dioxide as Carbon",1A2a,"Iron and steel - combustion plant",Coke,kilotonne,193.544897009081,164.024373968195,171.252987448636,148.189542288681,53.6664470266457,11.5815464526923,20.539796675974,33.1948684249896,19.2007556929474,14.610519870459,16.0218585115618,26.1490007920334,22.9344599684586,17.9728432305525,17.5712334230562,17.9856886917238,21.2020005633667,19.1787055846139,11.1925908373538,5.50433729024532,5.80040372244596,5.8900311387178,10.3054398629456,10.5407897909334,11.6164809269832,11.8914783760863,9.75939210841032,5.79391479865333,1.72713038600128,2.99982107294973,3.63270473004293,3.84128116768778,3.05761194315986,0.877051575320384
"Carbon Dioxide as Carbon",1A2a,"Iron and steel - combustion plant","Fuel oil",kilotonne,97.6885999220577,134.286568355417,130.634079890881,269.032731488699,237.413239672643,219.494390491038,70.8435000000001,100.7748,25.259,49.0769066342427,59.056915193235,94.8738212284406,67.9692368551694,21.1235800639206,30.5708031532103,17.2283750757745,19.8693055375217,59.7697111868973,4.1313,53.24103,11.93682,11.05782,5.64317999999999,5.82777,5.24763,6.40791,5.53494542420647,5.28756126266743,5.39706000000001,4.3071,2.61942,2.60183999999999,6.06510000000001,7.72641000000001
"Carbon Dioxide as Carbon",1A2a,"Iron and steel - combustion plant","Gas oil",kilotonne,25.3795903103431,26.3910911641486,26.4346429640196,26.1072613036449,25.1025195110256,23.4628363551871,25.7956483504089,25.3503840631311,26.97,22.1163067639219,60.4619514853369,8.6963666685258,8.99197358068811,10.5630885186857,9.93758838399538,8.64651240936042,7.860800857716,4.66714128358839,2.55946003477198,2.11315139279238,2.81090424696769,1.92903739795523,1.86330392839128,2.31675094068037,2.75380478810689,3.18439841312857,2.36691838210853,2.25165154539306,2.53446736725522,2.19836393842536,2.11584141027061,2.76469719081554,4.62230999739496,3.26111548347701
"Carbon Dioxide as Carbon",1A2a,"Iron and steel - combustion plant",LPG,kilotonne,8.14344918948057,8.1440796354966,5.9057805144698,5.9057805144698,8.1440796354966,7.96883272999239,4.89301742328696,13.6860653811103,16.7910167106842,16.7881889183286,19.1243544641612,-,7.95756860867774,-,-,-,-,-,3.47938135216851,3.05968075849863,1.14256438466959,0.696368247574569,1.85769629905289,3.02668013878613,2.93114087601964,2.73053946527855,0.985115918705152,1.00462183787632,1.09655380255457,1.56098139845691,0.8645426153078,0.784696962131641,0.744817095236712,0.689247007066675
"Carbon Dioxide as Carbon",1A2a,"Iron and steel - combustion plant","Natural gas",kilotonne,660.94536007766,612.097529033824,678.830012704285,761.757569296844,995.958499612789,998.414709596677,1059.29606342651,1032.78544914215,1011.66134225263,1100.05516197955,457.867875679726,438.601237949058,452.89619232899,528.339097397214,510.137360589838,446.634626370356,443.256903430524,388.691708132242,387.408356941802,288.570571164649,327.428513614356,312.370901506693,275.040399005672,288.229390244066,293.709365839824,289.353307462573,246.067791830839,240.719624011118,249.935125942255,249.05361585811,256.914530737433,257.384503809642,269.580472335114,279.311653317665
"Carbon Dioxide as Carbon",1A2a,"Iron and steel - combustion plant","Non-municipal solid waste: non-biomass fraction",kilotonne,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.841306514117537,0.755263802446426,0.92734922578865,0.00956030129679021,0.00956030129679021
"Carbon Dioxide as Carbon",1A2b,"Non-Ferrous Metal (combustion)",Coal,kilotonne,49.8019830377447,186.670516928391,173.427000524688,189.959845292966,165.822980839086,144.526281265277,120.6337937896,68.3622460117756,60.0462108385003,95.8534079311485,44.7961453727516,43.3670808003597,63.8228954564257,43.6489798968871,29.2024143435384,34.1443559302469,47.9701523361343,32.6932820033684,30.6987568579545,27.6574921834373,25.725545799103,24.1059664148951,23.2517551587485,23.2212169985715,25.6520545486587,23.2090017345007,21.0713305221125,19.7664613132835,18.2459642891848,16.4213678602663,14.6575913123118,17.6499294557381,18.5622276701973,16.7133032888932
"Carbon Dioxide as Carbon",1A2b,"Non-Ferrous Metal (combustion)","Fuel oil",kilotonne,27.744,46.872,47.5750000000001,32.8700000000001,44.1150000000001,33.7350000000001,21.625,23.436,14.807,13.984,8.38250000000002,30.75625,29.87062,21.096,20.7480892400094,20.8449680122486,25.2342102153394,22.8552430736209,0.81747,0.826259999999999,0.826260000000001,0.82626,0.37797,0.37797,0.37797,0.27249,0.25491,0.254909999999999,0.254910000000001,0.25491,0.25491,0.246119999999999,0.24612,0.24612
"Carbon Dioxide as Carbon",1A2b,"Non-Ferrous Metal (combustion)","Gas oil",kilotonne,18.0113221557273,18.7291614713313,18.760069200272,18.5277338283931,17.8146912658891,16.6510451552941,18.3065891519031,17.9905951415769,19.14,19.14,24.9864,35.7918000000001,31.1174516873052,18.3657,8.8682804901146,24.1077,11.8960488240156,8.74848056189298,0.32662170932128,0.0397773558847463,0.00332254688431438,-,0.0475698521364625,-,-,-,-,-,-,-,-,-,-,-
"Carbon Dioxide as Carbon",1A2b,"Non-Ferrous Metal (combustion)","Natural gas",kilotonne,223.486605949079,223.027292639882,187.762450186219,204.489635756623,225.216996584778,214.438380443192,242.808540461202,231.983979488508,278.364115125999,280.472619101151,297.05525196057,285.428499855426,265.148115655568,241.513454423136,172.193476533292,170.381905458999,167.185732329998,154.992387158005,143.89042047488,113.909369250437,117.500613567069,117.993726616324,123.03335825668,120.303553338691,114.806000965391,165.386376168037,156.645912841207,162.087328661322,170.713979086292,157.805699130174,152.973155288081,153.769929463639,144.961179537176,145.322597665825
"Carbon Dioxide as Carbon",1A2b,"Vehicle manufacture (combustion)","Non-municipal solid waste: non-biomass fraction",kilotonne,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.86619336006622,5.74574107937092,6.25243704810081,5.80310288715165,5.80310288715165
